BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
32.41,30.09,27.78,32.41,28.93,28.93,32.41,35.88,31.25,31.25,30.09,30.09,30.09,32.41,27.78,30.09,32.41,33.56,27.78,37.04
32.41,25.46,27.78,26.62,27.78,28.93,32.41,31.25,27.78,31.25,30.09,24.3,31.25,32.41,26.62,25.46,33.56,28.93,27.78,28.93
28.93,26.62,25.46,26.62,26.62,23.15,28.93,30.09,27.78,25.46,25.46,25.46,25.46,27.78,25.46,24.3,30.09,30.09,24.3,25.46
26.62,21.99,20.83,21.99,19.67,20.83,21.99,27.78,21.99,24.3,23.15,21.99,24.3,25.46,21.99,21.99,24.3,26.62,25.46,25.46
21.99,17.36,17.36,20.83,17.36,18.52,18.52,25.46,18.52,23.15,21.99,17.36,17.36,20.83,17.36,17.36,23.15,25.46,17.36,17.36
18.52,15.04,16.2,19.67,15.04,13.89,18.52,21.99,18.52,21.99,17.36,13.89,17.36,23.15,17.36,13.89,19.67,24.3,16.2,15.04
17.36,19.67,18.52,20.83,17.36,15.04,19.67,19.67,18.52,16.2,20.83,17.36,21.99,19.67,19.67,17.36,20.83,24.3,16.2,17.36
21.99,19.67,19.67,24.3,19.67,18.52,21.99,24.3,19.67,21.99,20.83,19.67,20.83,25.46,20.83,20.83,24.3,26.62,18.52,19.67
21.99,24.3,18.52,23.15,18.52,21.99,26.62,24.3,19.67,18.52,18.52,21.99,27.78,28.93,23.15,24.3,28.93,28.93,23.15,24.3
25.46,25.46,23.15,27.78,23.15,24.3,28.93,27.78,27.78,27.78,21.99,24.3,26.62,27.78,24.3,26.62,32.41,30.09,23.15,23.15
32.41,27.78,25.46,28.93,23.15,24.3,34.72,30.09,30.09,28.93,30.09,27.78,28.93,28.93,24.3,28.93,31.25,32.41,28.93,27.78
31.25,30.09,26.62,30.09,26.62,28.93,33.56,32.41,28.93,30.09,30.09,31.25,28.93,31.25,25.46,31.25,31.25,31.25,27.78,32.41
32.41,25.46,27.78,27.78,26.62,30.09,32.41,32.41,28.93,28.93,30.09,30.09,28.93,26.62,26.62,28.93,33.56,32.41,25.46,31.25
30.09,25.46,26.62,30.09,26.62,27.78,32.41,32.41,26.62,27.78,28.93,26.62,27.78,28.93,26.62,27.78,31.25,31.25,26.62,33.56
30.09,24.3,25.46,27.78,24.3,24.3,28.93,27.78,25.46,26.62,30.09,24.3,24.3,28.93,26.62,23.15,32.41,26.62,24.3,27.78
26.62,21.99,21.99,25.46,21.99,20.83,26.62,21.99,23.15,24.3,23.15,23.15,23.15,26.62,21.99,20.83,23.15,21.99,23.15,21.99
19.67,19.67,18.52,23.15,20.83,17.36,24.3,18.52,16.2,18.52,20.83,19.67,20.83,20.83,18.52,19.67,20.83,25.46,20.83,18.52
19.67,15.04,15.04,21.99,18.52,15.04,21.99,21.99,15.04,13.89,18.52,12.73,16.2,20.83,17.36,15.04,20.83,19.67,17.36,15.04
21.99,16.2,17.36,23.15,19.67,12.73,18.52,20.83,13.89,15.04,17.36,17.36,18.52,19.67,18.52,17.36,20.83,17.36,17.36,16.2
23.15,19.67,21.99,20.83,19.67,19.67,24.3,25.46,18.52,15.04,20.83,21.99,19.67,24.3,23.15,20.83,25.46,24.3,19.67,18.52
24.3,23.15,20.83,27.78,20.83,18.52,26.62,25.46,19.67,19.67,20.83,23.15,25.46,25.46,24.3,24.3,27.78,27.78,21.99,21.99
26.62,26.62,20.83,30.09,24.3,25.46,32.41,27.78,26.62,23.15,27.78,25.46,24.3,31.25,24.3,25.46,30.09,28.93,25.46,26.62
25.46,27.78,25.46,28.93,25.46,27.78,32.41,32.41,28.93,27.78,30.09,30.09,24.3,30.09,27.78,27.78,32.41,32.41,30.09,27.78
30.09,27.78,27.78,30.09,25.46,28.93,32.41,32.41,28.93,28.93,32.41,31.25,26.62,28.93,26.62,27.78,31.25,31.25,25.46,28.93
32.41,27.78,26.62,30.09,25.46,30.09,33.56,33.56,28.93,31.25,33.56,27.78,27.78,26.62,28.93,30.09,33.56,35.88,25.46,31.25
26.62,27.78,26.62,30.09,26.62,27.78,32.41,32.41,25.46,27.78,32.41,25.46,25.46,26.62,28.93,28.93,33.56,33.56,25.46,32.41
26.62,27.78,26.62,26.62,26.62,28.93,28.93,31.25,25.46,25.46,31.25,24.3,25.46,25.46,26.62,28.93,30.09,33.56,25.46,28.93
24.3,24.3,23.15,23.15,21.99,23.15,25.46,23.15,25.46,21.99,24.3,23.15,20.83,23.15,25.46,25.46,25.46,28.93,20.83,23.15
18.52,17.36,19.67,20.83,20.83,19.67,24.3,19.67,17.36,20.83,23.15,18.52,17.36,19.67,21.99,17.36,19.67,26.62,18.52,20.83
16.2,17.36,17.36,18.52,15.04,13.89,18.52,21.99,16.2,17.36,20.83,16.2,18.52,20.83,17.36,19.67,20.83,21.99,17.36,17.36
15.04,17.36,16.2,21.99,15.04,16.2,20.83,21.99,13.89,18.52,16.2,17.36,18.52,19.67,19.67,18.52,21.99,16.2,17.36,17.36
19.67,20.83,24.3,20.83,20.83,16.2,24.3,24.3,17.36,20.83,24.3,19.67,18.52,21.99,23.15,21.99,23.15,21.99,19.67,19.67
24.3,23.15,23.15,24.3,20.83,23.15,28.93,27.78,21.99,20.83,21.99,21.99,21.99,25.46,20.83,21.99,28.93,30.09,23.15,23.15
26.62,26.62,23.15,28.93,23.15,27.78,28.93,31.25,24.3,21.99,27.78,27.78,21.99,28.93,24.3,24.3,30.09,28.93,25.46,21.99
28.93,28.93,25.46,30.09,24.3,26.62,31.25,30.09,28.93,30.09,30.09,32.41,26.62,28.93,24.3,25.46,30.09,28.93,28.93,27.78
30.09,28.93,27.78,32.41,24.3,27.78,32.41,33.56,28.93,31.25,32.41,30.09,25.46,31.25,26.62,27.78,31.25,32.41,27.78,31.25
31.25,26.62,26.62,30.09,26.62,26.62,31.25,33.56,27.78,32.41,33.56,26.62,26.62,33.56,27.78,27.78,33.56,33.56,28.93,33.56
30.09,26.62,27.78,33.56,27.78,26.62,33.56,34.72,26.62,30.09,31.25,26.62,25.46,33.56,30.09,24.3,30.09,32.41,27.78,27.78
28.93,25.46,25.46,25.46,25.46,23.15,31.25,30.09,26.62,28.93,27.78,26.62,25.46,31.25,26.62,25.46,35.88,32.41,27.78,26.62
26.62,23.15,21.99,19.67,21.99,20.83,24.3,25.46,23.15,23.15,26.62,23.15,23.15,27.78,24.3,19.67,31.25,26.62,25.46,25.46
21.99,17.36,20.83,18.52,17.36,19.67,19.67,23.15,17.36,18.52,23.15,17.36,19.67,20.83,23.15,17.36,24.3,24.3,20.83,23.15
19.67,16.2,17.36,19.67,20.83,13.89,17.36,17.36,16.2,15.04,21.99,12.73,18.52,20.83,21.99,12.73,16.2,19.67,13.89,18.52
18.52,18.52,19.67,18.52,17.36,16.2,20.83,18.52,19.67,16.2,17.36,16.2,18.52,23.15,19.67,17.36,21.99,21.99,17.36,15.04
18.52,17.36,23.15,21.99,20.83,15.04,23.15,23.15,19.67,17.36,21.99,18.52,18.52,24.3,25.46,19.67,24.3,27.78,18.52,18.52
23.15,23.15,21.99,25.46,21.99,19.67,27.78,26.62,21.99,23.15,19.67,21.99,24.3,26.62,24.3,24.3,27.78,27.78,20.83,25.46
27.78,27.78,23.15,28.93,25.46,26.62,30.09,27.78,27.78,26.62,27.78,26.62,24.3,28.93,27.78,25.46,28.93,31.25,25.46,26.62
31.25,28.93,24.3,31.25,24.3,27.78,31.25,32.41,28.93,27.78,28.93,28.93,25.46,26.62,25.46,26.62,32.41,33.56,27.78,28.93
33.56,28.93,27.78,32.41,25.46,26.62,32.41,32.41,28.93,30.09,30.09,27.78,26.62,27.78,28.93,31.25,34.72,32.41,32.41,30.09
33.56,30.09,28.93,31.25,26.62,26.62,37.04,33.56,30.09,32.41,31.25,24.3,27.78,28.93,32.41,26.62,34.72,33.56,30.09,31.25
33.56,27.78,27.78,31.25,28.93,26.62,33.56,33.56,30.09,32.41,31.25,24.3,27.78,28.93,30.09,26.62,33.56,33.56,24.3,32.41
31.25,25.46,25.46,32.41,26.62,25.46,32.41,31.25,27.78,27.78,27.78,24.3,26.62,25.46,27.78,25.46,27.78,31.25,24.3,26.62
27.78,21.99,23.15,23.15,24.3,23.15,27.78,26.62,25.46,24.3,25.46,21.99,21.99,23.15,24.3,23.15,25.46,26.62,20.83,24.3
19.67,17.36,18.52,20.83,19.67,17.36,20.83,20.83,20.83,23.15,21.99,18.52,23.15,17.36,17.36,16.2,23.15,23.15,18.52,21.99
19.67,13.89,17.36,19.67,17.36,16.2,18.52,23.15,21.99,17.36,18.52,16.2,16.2,19.67,16.2,17.36,19.67,23.15,17.36,16.2
21.99,16.2,17.36,23.15,15.04,16.2,19.67,23.15,19.67,20.83,16.2,17.36,17.36,17.36,17.36,16.2,23.15,23.15,17.36,18.52
18.52,17.36,17.36,24.3,19.67,17.36,24.3,26.62,20.83,20.83,23.15,18.52,19.67,23.15,21.99,21.99,24.3,20.83,18.52,20.83
24.3,20.83,20.83,28.93,21.99,20.83,26.62,28.93,25.46,20.83,26.62,21.99,20.83,26.62,24.3,21.99,28.93,27.78,21.99,21.99
27.78,28.93,23.15,26.62,23.15,24.3,26.62,30.09,25.46,28.93,25.46,25.46,20.83,27.78,25.46,24.3,31.25,31.25,27.78,26.62
30.09,30.09,24.3,28.93,24.3,23.15,28.93,33.56,28.93,32.41,30.09,28.93,24.3,30.09,24.3,24.3,34.72,31.25,32.41,28.93
33.56,27.78,26.62,28.93,25.46,26.62,31.25,34.72,31.25,30.09,31.25,28.93,25.46,33.56,27.78,27.78,32.41,34.72,30.09,31.25
32.41,27.78,28.93,32.41,28.93,27.78,37.04,33.56,33.56,31.25,33.56,26.62,27.78,32.41,26.62,26.62,33.56,33.56,27.78,32.41
32.41,26.62,28.93,31.25,30.09,28.93,33.56,32.41,28.93,31.25,31.25,26.62,26.62,28.93,27.78,25.46,33.56,32.41,26.62,33.56
27.78,25.46,27.78,28.93,25.46,23.15,30.09,31.25,27.78,27.78,30.09,24.3,23.15,26.62,26.62,24.3,33.56,28.93,24.3,30.09
23.15,23.15,24.3,24.3,19.67,19.67,27.78,25.46,24.3,24.3,21.99,21.99,20.83,21.99,24.3,20.83,27.78,27.78,24.3,24.3
23.15,18.52,21.99,21.99,20.83,16.2,23.15,21.99,21.99,20.83,19.67,17.36,17.36,20.83,19.67,19.67,21.99,23.15,18.52,21.99
17.36,16.2,19.67,19.67,16.2,17.36,20.83,23.15,16.2,17.36,19.67,17.36,19.67,18.52,18.52,12.73,19.67,23.15,12.73,19.67
18.52,17.36,20.83,24.3,17.36,17.36,24.3,20.83,18.52,19.67,19.67,16.2,16.2,19.67,17.36,17.36,21.99,23.15,15.04,20.83
23.15,18.52,20.83,21.99,18.52,18.52,26.62,23.15,19.67,19.67,19.67,19.67,17.36,20.83,19.67,13.89,24.3,21.99,18.52,20.83
23.15,23.15,23.15,25.46,23.15,21.99,30.09,27.78,24.3,23.15,25.46,24.3,19.67,21.99,23.15,21.99,27.78,28.93,18.52,21.99
24.3,26.62,25.46,24.3,23.15,21.99,31.25,30.09,25.46,25.46,24.3,25.46,21.99,26.62,25.46,26.62,27.78,30.09,25.46,25.46
27.78,31.25,24.3,28.93,25.46,28.93,31.25,30.09,30.09,31.25,31.25,27.78,25.46,28.93,25.46,30.09,31.25,34.72,28.93,28.93
31.25,31.25,27.78,33.56,26.62,30.09,33.56,34.72,28.93,32.41,33.56,30.09,26.62,28.93,28.93,30.09,32.41,33.56,30.09,31.25
34.72,28.93,31.25,30.09,27.78,26.62,32.41,34.72,26.62,34.72,34.72,30.09,28.93,31.25,31.25,30.09,32.41,32.41,30.09,32.41
34.72,27.78,30.09,32.41,27.78,26.62,34.72,34.72,26.62,33.56,30.09,26.62,28.93,30.09,28.93,28.93,31.25,34.72,24.3,32.41
30.09,26.62,26.62,27.78,25.46,23.15,28.93,28.93,27.78,28.93,28.93,26.62,26.62,30.09,26.62,25.46,28.93,30.09,23.15,24.3
24.3,24.3,23.15,25.46,23.15,19.67,26.62,26.62,25.46,26.62,23.15,23.15,23.15,24.3,23.15,20.83,30.09,25.46,23.15,23.15
20.83,18.52,19.67,21.99,19.67,17.36,21.99,23.15,17.36,23.15,24.3,18.52,18.52,18.52,18.52,19.67,27.78,21.99,19.67,19.67
20.83,15.04,16.2,18.52,18.52,11.57,23.15,20.83,18.52,17.36,13.89,16.2,19.67,19.67,18.52,17.36,20.83,19.67,16.2,15.04
19.67,16.2,17.36,21.99,20.83,13.89,23.15,24.3,19.67,20.83,13.89,16.2,19.67,18.52,16.2,18.52,20.83,19.67,16.2,18.52
23.15,19.67,17.36,25.46,21.99,20.83,23.15,21.99,17.36,23.15,21.99,19.67,21.99,23.15,20.83,20.83,26.62,24.3,19.67,20.83
25.46,25.46,21.99,25.46,24.3,20.83,27.78,27.78,17.36,25.46,24.3,23.15,21.99,24.3,23.15,26.62,27.78,28.93,20.83,25.46
25.46,26.62,19.67,23.15,28.93,27.78,30.09,31.25,21.99,24.3,24.3,26.62,24.3,28.93,23.15,25.46,32.41,30.09,25.46,27.78
28.93,31.25,26.62,31.25,28.93,26.62,31.25,32.41,32.41,31.25,31.25,30.09,24.3,28.93,21.99,25.46,32.41,33.56,26.62,30.09
31.25,31.25,28.93,30.09,28.93,30.09,33.56,33.56,28.93,34.72,32.41,30.09,26.62,26.62,28.93,26.62,33.56,32.41,26.62,32.41
32.41,28.93,30.09,32.41,27.78,27.78,34.72,34.72,27.78,33.56,31.25,28.93,27.78,30.09,30.09,26.62,33.56,32.41,28.93,34.72
31.25,25.46,31.25,30.09,30.09,27.78,32.41,30.09,28.93,33.56,30.09,26.62,27.78,27.78,30.09,26.62,37.04,32.41,27.78,30.09
26.62,25.46,25.46,25.46,26.62,27.78,32.41,30.09,26.62,30.09,28.93,27.78,26.62,25.46,27.78,25.46,31.25,27.78,27.78,28.93
23.15,24.3,23.15,23.15,25.46,19.67,25.46,27.78,25.46,27.78,26.62,21.99,23.15,25.46,24.3,18.52,25.46,24.3,25.46,23.15
16.2,17.36,19.67,18.52,18.52,15.04,21.99,24.3,23.15,18.52,24.3,19.67,19.67,19.67,21.99,18.52,20.83,23.15,19.67,18.52
19.67,17.36,17.36,19.67,15.04,16.2,21.99,21.99,19.67,19.67,20.83,18.52,16.2,20.83,20.83,17.36,19.67,20.83,19.67,18.52
19.67,17.36,18.52,17.36,19.67,17.36,20.83,21.99,13.89,16.2,19.67,18.52,18.52,20.83,18.52,18.52,18.52,21.99,19.67,17.36
20.83,18.52,18.52,20.83,19.67,16.2,26.62,25.46,20.83,15.04,23.15,19.67,17.36,23.15,20.83,19.67,25.46,24.3,18.52,17.36
23.15,21.99,19.67,23.15,26.62,23.15,28.93,25.46,19.67,21.99,24.3,23.15,23.15,25.46,23.15,23.15,26.62,26.62,21.99,24.3
27.78,27.78,24.3,27.78,24.3,25.46,28.93,28.93,24.3,26.62,26.62,26.62,20.83,27.78,25.46,30.09,31.25,27.78,26.62,26.62
28.93,28.93,25.46,31.25,28.93,25.46,33.56,31.25,30.09,28.93,28.93,31.25,24.3,31.25,26.62,27.78,30.09,32.41,28.93,30.09
33.56,27.78,28.93,33.56,31.25,27.78,32.41,33.56,28.93,30.09,30.09,30.09,26.62,30.09,28.93,31.25,34.72,33.56,26.62,30.09
34.72,28.93,28.93,32.41,32.41,30.09,34.72,35.88,27.78,34.72,28.93,27.78,26.62,31.25,28.93,30.09,34.72,34.72,27.78,34.72
30.09,28.93,31.25,32.41,31.25,26.62,33.56,30.09,26.62,32.41,31.25,28.93,26.62,28.93,31.25,27.78,33.56,33.56,27.78,35.88
28.93,27.78,28.93,30.09,30.09,27.78,30.09,28.93,24.3,28.93,27.78,27.78,25.46,25.46,26.62,24.3,30.09,32.41,26.62,28.93
27.78,23.15,24.3,20.83,25.46,19.67,25.46,24.3,23.15,25.46,24.3,21.99,23.15,21.99,24.3,21.99,24.3,24.3,23.15,25.46
19.67,20.83,20.83,21.99,19.67,19.67,24.3,21.99,19.67,20.83,24.3,17.36,17.36,23.15,20.83,16.2,19.67,20.83,21.99,19.67
21.99,17.36,18.52,17.36,18.52,16.2,23.15,19.67,18.52,19.67,20.83,17.36,16.2,21.99,20.83,17.36,19.67,20.83,16.2,17.36
21.99,17.36,16.2,20.83,19.67,16.2,20.83,20.83,18.52,16.2,20.83,18.52,17.36,23.15,16.2,15.04,19.67,20.83,18.52,16.2
21.99,19.67,19.67,19.67,23.15,18.52,25.46,24.3,18.52,20.83,24.3,20.83,18.52,24.3,21.99,20.83,23.15,23.15,21.99,20.83
25.46,23.15,23.15,25.46,21.99,20.83,30.09,24.3,23.15,24.3,21.99,25.46,20.83,25.46,24.3,23.15,26.62,27.78,23.15,26.62
26.62,26.62,24.3,31.25,27.78,25.46,30.09,27.78,20.83,26.62,24.3,26.62,24.3,32.41,21.99,24.3,30.09,33.56,24.3,27.78
30.09,28.93,26.62,32.41,24.3,30.09,32.41,33.56,25.46,32.41,33.56,27.78,25.46,32.41,26.62,27.78,31.25,32.41,28.93,28.93
31.25,30.09,25.46,30.09,26.62,28.93,32.41,33.56,27.78,34.72,30.09,31.25,27.78,34.72,27.78,28.93,34.72,34.72,32.41,32.41
31.25,27.78,27.78,31.25,28.93,31.25,34.72,33.56,27.78,33.56,34.72,31.25,28.93,33.56,25.46,26.62,34.72,32.41,30.09,34.72
32.41,27.78,28.93,28.93,30.09,31.25,33.56,33.56,26.62,30.09,32.41,30.09,27.78,30.09,28.93,24.3,33.56,32.41,30.09,34.72
28.93,26.62,26.62,25.46,27.78,28.93,30.09,32.41,24.3,25.46,30.09,26.62,24.3,25.46,26.62,24.3,28.93,28.93,26.62,28.93
23.15,21.99,23.15,23.15,24.3,21.99,25.46,28.93,21.99,19.67,26.62,21.99,23.15,21.99,23.15,21.99,30.09,25.46,23.15,21.99
20.83,18.52,19.67,20.83,21.99,19.67,19.67,23.15,19.67,20.83,23.15,18.52,20.83,19.67,18.52,16.2,25.46,20.83,18.52,19.67
17.36,16.2,18.52,20.83,20.83,16.2,17.36,20.83,17.36,19.67,18.52,16.2,19.67,19.67,16.2,15.04,23.15,20.83,13.89,17.36
16.2,17.36,17.36,19.67,18.52,16.2,18.52,21.99,17.36,19.67,19.67,19.67,18.52,18.52,18.52,16.2,20.83,23.15,16.2,17.36
18.52,19.67,21.99,21.99,19.67,20.83,24.3,24.3,17.36,16.2,17.36,23.15,18.52,19.67,19.67,20.83,27.78,23.15,20.83,17.36
18.52,24.3,23.15,24.3,25.46,24.3,26.62,24.3,19.67,18.52,24.3,21.99,23.15,23.15,21.99,21.99,26.62,27.78,21.99,23.15
24.3,27.78,25.46,31.25,24.3,25.46,28.93,25.46,25.46,23.15,20.83,27.78,23.15,25.46,24.3,27.78,31.25,28.93,26.62,26.62
31.25,30.09,25.46,31.25,26.62,27.78,30.09,32.41,27.78,25.46,28.93,28.93,25.46,28.93,24.3,28.93,31.25,32.41,28.93,30.09
33.56,28.93,30.09,33.56,27.78,30.09,32.41,33.56,28.93,27.78,33.56,28.93,25.46,32.41,27.78,32.41,34.72,33.56,26.62,33.56
31.25,25.46,31.25,31.25,26.62,28.93,33.56,34.72,28.93,30.09,28.93,27.78,26.62,28.93,28.93,32.41,34.72,35.88,30.09,31.25
33.56,24.3,31.25,26.62,26.62,24.3,32.41,31.25,25.46,28.93,31.25,25.46,27.78,30.09,30.09,28.93,33.56,32.41,27.78,32.41
27.78,25.46,26.62,26.62,26.62,24.3,32.41,27.78,27.78,25.46,28.93,27.78,26.62,26.62,26.62,27.78,31.25,31.25,27.78,26.62
26.62,20.83,21.99,23.15,24.3,21.99,25.46,26.62,23.15,24.3,25.46,21.99,24.3,30.09,21.99,19.67,30.09,25.46,25.46,21.99
24.3,18.52,18.52,19.67,18.52,19.67,24.3,23.15,18.52,17.36,19.67,19.67,17.36,27.78,23.15,18.52,24.3,25.46,16.2,18.52
19.67,19.67,17.36,20.83,17.36,17.36,20.83,19.67,13.89,15.04,18.52,17.36,19.67,24.3,19.67,15.04,21.99,24.3,15.04,18.52
21.99,15.04,17.36,20.83,12.73,16.2,23.15,25.46,16.2,16.2,21.99,15.04,18.52,21.99,19.67,13.89,21.99,23.15,16.2,16.2
19.67,19.67,20.83,23.15,18.52,24.3,21.99,21.99,20.83,16.2,17.36,19.67,17.36,21.99,21.99,21.99,26.62,25.46,21.99,25.46
25.46,23.15,21.99,23.15,20.83,23.15,26.62,28.93,24.3,20.83,21.99,23.15,21.99,26.62,26.62,21.99,30.09,27.78,16.2,21.99
25.46,25.46,25.46,27.78,24.3,26.62,31.25,27.78,26.62,20.83,26.62,27.78,21.99,31.25,31.25,27.78,31.25,26.62,26.62,25.46
31.25,30.09,26.62,31.25,25.46,31.25,34.72,31.25,30.09,27.78,30.09,31.25,24.3,31.25,28.93,27.78,33.56,32.41,30.09,28.93
32.41,31.25,28.93,30.09,25.46,30.09,33.56,33.56,27.78,30.09,31.25,32.41,30.09,31.25,28.93,28.93,34.72,33.56,30.09,32.41
32.41,30.09,30.09,31.25,26.62,30.09,34.72,37.04,27.78,32.41,32.41,28.93,27.78,31.25,32.41,28.93,33.56,32.41,30.09,32.41
30.09,30.09,25.46,27.78,26.62,30.09,31.25,32.41,27.78,32.41,31.25,28.93,27.78,30.09,31.25,26.62,34.72,32.41,30.09,34.72
27.78,27.78,25.46,27.78,25.46,26.62,30.09,32.41,27.78,26.62,28.93,27.78,26.62,27.78,28.93,25.46,31.25,32.41,25.46,28.93
26.62,23.15,21.99,23.15,25.46,23.15,25.46,26.62,26.62,20.83,25.46,24.3,23.15,23.15,26.62,23.15,23.15,25.46,25.46,24.3
23.15,19.67,19.67,19.67,20.83,17.36,23.15,24.3,23.15,17.36,20.83,20.83,18.52,20.83,23.15,17.36,21.99,23.15,17.36,17.36
18.52,18.52,18.52,17.36,18.52,16.2,23.15,20.83,15.04,16.2,19.67,17.36,16.2,18.52,20.83,16.2,21.99,23.15,16.2,18.52
20.83,17.36,17.36,19.67,17.36,19.67,21.99,20.83,13.89,17.36,20.83,17.36,16.2,18.52,18.52,18.52,20.83,20.83,16.2,17.36
17.36,19.67,20.83,21.99,19.67,17.36,25.46,24.3,16.2,24.3,20.83,18.52,18.52,23.15,23.15,21.99,24.3,24.3,18.52,20.83
21.99,26.62,26.62,27.78,21.99,24.3,30.09,30.09,23.15,23.15,24.3,26.62,19.67,26.62,21.99,24.3,27.78,26.62,21.99,21.99
26.62,26.62,25.46,25.46,23.15,25.46,32.41,31.25,26.62,26.62,28.93,27.78,24.3,27.78,25.46,27.78,30.09,31.25,26.62,26.62
31.25,28.93,26.62,30.09,24.3,27.78,31.25,33.56,32.41,25.46,31.25,30.09,25.46,31.25,27.78,26.62,32.41,34.72,30.09,30.09
31.25,28.93,27.78,32.41,27.78,27.78,32.41,31.25,30.09,28.93,34.72,31.25,28.93,30.09,27.78,26.62,33.56,31.25,30.09,32.41
32.41,28.93,30.09,30.09,28.93,30.09,31.25,32.41,27.78,31.25,32.41,31.25,30.09,31.25,27.78,32.41,34.72,32.41,27.78,34.72
33.56,25.46,28.93,28.93,27.78,28.93,32.41,31.25,26.62,30.09,31.25,23.15,27.78,30.09,27.78,31.25,33.56,30.09,27.78,35.88
27.78,26.62,25.46,26.62,25.46,25.46,28.93,30.09,26.62,27.78,28.93,24.3,27.78,26.62,27.78,27.78,31.25,27.78,27.78,26.62
24.3,23.15,23.15,23.15,23.15,21.99,24.3,27.78,25.46,23.15,23.15,21.99,26.62,23.15,24.3,23.15,26.62,24.3,24.3,26.62
23.15,18.52,17.36,20.83,20.83,17.36,24.3,23.15,19.67,21.99,25.46,19.67,21.99,19.67,20.83,17.36,25.46,23.15,21.99,19.67
19.67,17.36,16.2,21.99,19.67,15.04,20.83,24.3,18.52,19.67,19.67,16.2,17.36,21.99,17.36,16.2,21.99,21.99,17.36,18.52
19.67,17.36,18.52,20.83,19.67,19.67,21.99,24.3,12.73,17.36,23.15,16.2,16.2,18.52,18.52,16.2,18.52,19.67,17.36,17.36
20.83,20.83,21.99,21.99,19.67,20.83,21.99,24.3,19.67,19.67,20.83,20.83,19.67,23.15,18.52,20.83,26.62,20.83,20.83,21.99
21.99,23.15,24.3,26.62,24.3,23.15,28.93,28.93,21.99,23.15,24.3,23.15,25.46,26.62,20.83,28.93,26.62,26.62,23.15,25.46
25.46,27.78,24.3,28.93,27.78,27.78,32.41,30.09,26.62,26.62,25.46,26.62,26.62,28.93,27.78,26.62,30.09,32.41,26.62,27.78
28.93,31.25,25.46,33.56,26.62,26.62,31.25,31.25,28.93,30.09,31.25,28.93,28.93,27.78,28.93,26.62,33.56,33.56,28.93,27.78
33.56,30.09,28.93,31.25,31.25,28.93,31.25,31.25,30.09,33.56,31.25,30.09,28.93,34.72,26.62,32.41,33.56,33.56,31.25,28.93
32.41,30.09,28.93,32.41,31.25,30.09,33.56,34.72,30.09,34.72,33.56,26.62,30.09,31.25,28.93,30.09,33.56,33.56,28.93,35.88
32.41,32.41,30.09,27.78,34.72,28.93,34.72,32.41,27.78,28.93,34.72,24.3,30.09,33.56,28.93,24.3,31.25,31.25,26.62,33.56
31.25,31.25,28.93,27.78,33.56,24.3,33.56,28.93,24.3,26.62,30.09,27.78,27.78,30.09,26.62,24.3,27.78,30.09,24.3,27.78
21.99,25.46,24.3,23.15,27.78,20.83,24.3,26.62,25.46,23.15,26.62,23.15,24.3,27.78,24.3,21.99,26.62,27.78,23.15,26.62
24.3,20.83,19.67,17.36,26.62,19.67,26.62,23.15,17.36,18.52,25.46,19.67,19.67,26.62,19.67,17.36,24.3,21.99,20.83,20.83
21.99,17.36,15.04,18.52,24.3,17.36,20.83,21.99,18.52,18.52,21.99,16.2,17.36,24.3,20.83,11.57,19.67,21.99,15.04,19.67
23.15,16.2,21.99,20.83,18.52,18.52,21.99,18.52,13.89,13.89,17.36,17.36,18.52,20.83,20.83,15.04,21.99,24.3,17.36,20.83
25.46,21.99,17.36,25.46,21.99,19.67,25.46,24.3,20.83,16.2,18.52,21.99,20.83,25.46,20.83,19.67,25.46,25.46,19.67,21.99
23.15,24.3,20.83,28.93,27.78,24.3,27.78,25.46,20.83,20.83,24.3,25.46,23.15,27.78,23.15,18.52,27.78,27.78,21.99,21.99
25.46,28.93,20.83,31.25,27.78,26.62,30.09,31.25,25.46,21.99,26.62,28.93,25.46,31.25,26.62,24.3,33.56,33.56,25.46,26.62
31.25,32.41,23.15,30.09,28.93,28.93,31.25,35.88,27.78,27.78,30.09,28.93,24.3,31.25,25.46,24.3,34.72,34.72,28.93,30.09
28.93,30.09,26.62,31.25,32.41,26.62,32.41,34.72,30.09,31.25,31.25,30.09,27.78,27.78,32.41,27.78,34.72,33.56,30.09,28.93
33.56,28.93,30.09,32.41,28.93,25.46,33.56,39.35,30.09,31.25,31.25,26.62,30.09,28.93,33.56,27.78,32.41,32.41,31.25,31.25
31.25,30.09,30.09,26.62,28.93,25.46,31.25,34.72,27.78,34.72,35.88,27.78,27.78,26.62,31.25,26.62,33.56,32.41,27.78,31.25
31.25,28.93,26.62,23.15,25.46,21.99,30.09,32.41,25.46,30.09,28.93,24.3,26.62,25.46,28.93,23.15,28.93,31.25,26.62,27.78
